                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2326,                0.58573,                 0.7885,                0.76298,                0.61379,                0.67095,                0.39828,                 1.1207,                0.52901,                0.79696,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1779,                0.56089,                0.79172,                0.89519,                0.57191,                0.66924,                0.40882,                 1.0753,                0.51585,                0.79607,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.2193,                0.56856,                0.77902,                0.81197,                0.56545,                 0.6572,                0.38408,                 1.0964,                0.50999,                0.79699,               0.000359,               0.000359,               0.000359
                     39,                 1.1384,                0.53474,                 0.7893,                0.81981,                0.57599,                0.67934,                0.40892,                 1.0282,                0.49293,                0.79616,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1502,                 0.5478,                0.78004,                0.76445,                0.59294,                 0.6652,                0.41624,                 1.0214,                0.48401,                0.79441,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0901,                0.52759,                0.78632,                0.68141,                0.59153,                0.65914,                0.40197,                 1.0413,                0.50494,                0.79547,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0747,                0.51812,                0.78798,                0.72259,                0.58404,                0.64816,                0.40352,                 1.0219,                0.49093,                 0.7943,                0.00026,                0.00026,                0.00026
                     43,                 1.0636,                0.50904,                0.78768,                 0.9184,                0.55061,                0.66246,                0.40066,                 1.0467,                 0.4939,                0.79522,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.0573,                0.51232,                0.78356,                0.86491,                0.59454,                0.66509,                0.40616,                 1.0631,                0.50828,                0.79621,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.0347,                0.49737,                0.78548,                0.81513,                0.54904,                0.65923,                0.40435,                 1.0237,                 0.4777,                0.79542,             0.00018575,             0.00018575,             0.00018575
                     46,                  1.025,                0.49311,                0.78299,                0.82285,                 0.5791,                0.67702,                0.41738,                 1.0013,                0.47375,                0.79469,               0.000161,               0.000161,               0.000161
                     47,                 1.0222,                 0.4898,                 0.7861,                0.78023,                 0.6054,                0.68605,                 0.4195,                0.99234,                0.47327,                 0.7938,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.0177,                0.47434,                0.78061,                0.77995,                0.63176,                0.69692,                 0.4285,                 1.0041,                0.47118,                0.79273,              0.0001115,              0.0001115,              0.0001115
                     49,                0.99957,                0.47503,                0.77993,                0.77781,                0.60681,                0.69761,                0.42106,                 0.9803,                0.46488,                0.79261,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.98706,                0.46335,                0.78388,                0.79819,                0.60295,                0.69596,                0.42469,                0.98811,                0.46252,                0.79262,                6.2e-05,                6.2e-05,                6.2e-05
